編號,縣市,區別,temple_name,團體屬性,績優項目,latitude,longitude
1,臺北市,信義區,松山慈惠堂,立案寺廟,捐款資助,25.03654449947,121.587508181849
2,臺北市,中山區,財團法人台北行天宮,財團法人寺廟,捐款資助,25.062765020441,121.533512967421
3,臺北市,大同區,財團法人台北保安宮,財團法人寺廟,捐款資助,25.073378018603,121.515595978832
4,臺北市,松山區,財團法人台北市松山慈祐宮,財團法人寺廟,捐款資助,25.051075995458,121.577713005979
5,臺北市,萬華區,財團法人台北市艋舺龍山寺,財團法人寺廟,捐款資助,25.036778606026,121.499935482396
6,臺北市,中正區,財團法人台北市臺灣省城隍廟,財團法人寺廟,捐款資助,25.043945007512,121.512778988812
7,臺北市,北投區,財團法人台北市關渡宮,財團法人寺廟,捐款資助,25.117597000263,121.463989020076
9,臺北市,萬華區,台北天后宮,立案寺廟,捐款資助,25.042787005679,121.506328024672
10,臺北市,中正區,財團法人台北市華嚴蓮社,財團法人寺廟,捐款資助,25.040367988423,121.530663036523
11,臺北市,中山區,台北市文昌宮,立案寺廟,捐款資助,25.059208998019,121.520971041881
12,臺北市,士林區,慈諴宮,立案寺廟,捐款資助,25.089520684019,121.524683386797
13,臺北市,大同區,台北霞海城隍廟,立案寺廟,捐款資助,25.055618316427,121.510142880264
15,臺北市,大同區,財團法人台北市覺修宮,財團法人寺廟,捐款資助,25.076198990027,121.51363100927
16,臺北市,大同區,財團法人台北市普濟寺,財團法人寺廟,捐款資助,25.050477988576,121.514123026987
17,臺北市,文山區,財團法人台北市木柵忠順廟,財團法人寺廟,捐款資助,24.983608003232,121.564626089094
18,臺北市,士林區,財團法人台北葫蘆寺,財團法人寺廟,捐款資助,25.085329983889,121.508575967284
19,臺北市,中正區,財團法人台北市淨土宗善導寺,財團法人寺廟,捐款資助,25.044982016573,121.524860999326
20,臺北市,大同區,財團法人臺北市臺疆樂善壇,財團法人寺廟,捐款資助,25.052137018671,121.510872022021
22,臺北市,中山區,財團法人九府仙師普惠堂,財團法人寺廟,捐款資助,25.060631993721,121.520582959764
23,臺北市,士林區,芝山巖惠濟宮,立案寺廟,捐款資助,25.103140983313,121.530745011536
24,臺北市,松山區,台北府城隍廟,立案寺廟,捐款資助,25.049511597049,121.5761927802
25,臺北市,萬華區,財團法人台北市廣照宮,財團法人寺廟,捐款資助,25.023043443139,121.500184868716
26,臺北市,士林區,財團法人台北市南海普陀山慧濟寺,財團法人寺廟,捐款資助,25.126703979972,121.535820002451
27,臺北市,北投區,財團法人台北市北投慈后宮,財團法人寺廟,捐款資助,25.128234012578,121.501986031189
28,臺北市,文山區,財團法人臺北市景美十五份福興宮,財團法人寺廟,捐款資助,25.002237998416,121.551363990433
29,臺北市,中山區,財團法人台北市中庄仔福德宮,財團法人寺廟,捐款資助,25.059429986896,121.528987996992
30,臺北市,大安區,財團法人台北市福佑宮,財團法人寺廟,捐款資助,25.044091020266,121.542520998764
31,臺北市,文山區,財團法人萬慶巖清水祖師廟,財團法人寺廟,捐款資助,24.995019000487,121.536637992382
32,臺北市,中山區,植福宮,立案寺廟,捐款資助,25.081763987002,121.550541977189
33,臺北市,大同區,大龍峒福壽宮,立案寺廟,捐款資助,25.074890784488,121.520872135424
34,臺北市,南港區,玉成公園福德宮,立案寺廟,捐款資助,25.042561993488,121.584091969572
36,臺北市,文山區,樟山寺,立案寺廟,捐款資助,24.977489004367,121.560932016727
38,臺北市,信義區,松山奉天宮,立案寺廟,動員協力,25.037466005905,121.584909959503
39,臺北市,信義區,台北市松山五分埔福德宮,立案寺廟,動員協力,25.047727006044,121.576630986099
41,臺北市,大安區,台北市大安區福安宮,立案寺廟,動員協力,25.022119998477,121.54751895999
45,臺北市,士林區,財團法人台北市士林神農宮,財團法人寺廟,動員協力,25.097704983828,121.526376028325
